date,ticker,action,price,shares,weight,combo_rank,rebalance_id,pnl,reason
2009-01-05,HST,BUY,4.155764867932723,25737.700622091987,0.04999999999999999,7.0,37,0.0,rebalance
2009-01-05,IBM,BUY,45.69166608866804,2342.5942365709666,0.04999999999999999,8.0,37,0.0,rebalance
2009-01-05,SPGI,BUY,17.144026402392715,6246.832804503346,0.04999999999999999,9.0,37,0.0,rebalance
2009-01-05,CRM,BUY,8.23994497683532,12997.951652289361,0.04999999999999999,10.0,37,0.0,rebalance
2009-01-05,ALGN,BUY,8.9399995803833,11988.889217452892,0.04999999999999999,11.0,37,0.0,rebalance
2009-01-05,GD,BUY,39.31187461293872,2725.6571675246546,0.04999999999999999,12.0,37,0.0,rebalance
2009-01-05,DIS,BUY,19.62827173228087,5460.74451299082,0.04999999999999999,13.0,37,0.0,rebalance
2009-01-05,AMGN,BUY,39.52454836349762,869.013663158486,0.04999999999999999,14.0,37,0.0,rebalance
2009-01-05,EXPE,BUY,11.436939305696463,9380.57872046183,0.04999999999999999,15.0,37,0.0,rebalance
2009-01-05,CMI,BUY,19.1916484565737,5590.1978133430075,0.04999999999999999,16.0,37,0.0,rebalance
2009-01-05,TXT,BUY,14.413137153752968,7447.812537405392,0.04999999999999999,17.0,37,0.0,rebalance
2009-01-05,OKE,BUY,5.226330122213172,20564.15693889031,0.04999999999999999,18.0,37,0.0,rebalance
2009-01-05,INTU,BUY,21.125888899995346,242.1477936829233,0.04999999999999999,19.0,37,0.0,rebalance
2009-01-05,UNP,BUY,17.407389759843124,6175.991133749399,0.04999999999999999,20.0,37,0.0,rebalance
2009-01-30,TXT,STOP,8.834169113161456,7447.812537405392,0.0,,0,-0.3870752065339801,risk_exit
2009-02-03,VMC,STOP,40.97258799963189,1841.401434716768,0.0,,0,-0.29384648785178535,risk_exit
2009-02-05,HST,STOP,2.775963306427002,25737.700622091987,0.0,,0,-0.33202108525261687,risk_exit
2009-03-03,OKE,STOP,3.624272522555626,20564.15693889031,0.0,,0,-0.3065358601915352,risk_exit
2009-03-03,CMI,STOP,12.459069406434883,5590.1978133430075,0.0,,0,-0.3508077518913031,risk_exit
2009-03-03,DIS,STOP,13.491825265804142,5460.74451299082,0.0,,0,-0.3126330504373781,risk_exit
2009-03-03,GD,STOP,27.630256799797966,2725.6571675246546,0.0,,0,-0.29715239805165594,risk_exit
2009-03-09,UNP,STOP,11.949085552210242,6175.991133749399,0.0,,0,-0.313562474497157,risk_exit
2009-04-02,VMC,BUY,39.78187151843862,2283.18136015224,0.04999999999999999,1.0,38,0.0,rebalance
2009-04-02,EFX,BUY,20.954417725126202,370.2784819874623,0.04999999999999999,2.0,38,0.0,rebalance
2009-04-02,BSX,BUY,8.4399995803833,2903.047743175155,0.04999999999999999,3.0,38,0.0,rebalance
2009-04-02,STE,BUY,17.3367488502754,792.3687861518656,0.04999999999999999,4.0,38,0.0,rebalance
2009-04-02,DGX,BUY,35.34702499803231,196.31003143953194,0.04999999999999999,5.0,38,0.0,rebalance
2009-04-02,BKR,BUY,14.894924022007382,279.6060547677389,0.04999999999999999,6.0,38,0.0,rebalance
2009-04-02,HST,BUY,2.285124665932151,39729.85897714091,0.04999999999999999,7.0,38,0.0,rebalance
2009-04-02,IBM,BUY,52.70741724002078,625.8655971685812,0.04999999999999999,8.0,38,0.0,rebalance
2009-04-02,SPGI,BUY,16.644458844420203,808.989997176327,0.04999999999999999,9.0,38,0.0,rebalance
2009-04-02,CRM,BUY,8.153933840349376,1895.6257973883166,0.04999999999999999,10.0,38,0.0,rebalance
2009-04-02,ALGN,BUY,7.949999809265137,600.3299681562421,0.04999999999999999,11.0,38,0.0,rebalance
2009-04-02,GD,BUY,28.576364593704472,3168.424213296822,0.04999999999999999,12.0,38,0.0,rebalance
2009-04-02,DIS,BUY,16.071638757967737,5629.056239096403,0.04999999999999999,13.0,38,0.0,rebalance
2009-04-02,AMGN,BUY,32.79695266355592,40.913055607652495,0.04999999999999999,14.0,38,0.0,rebalance
2009-04-02,EXPE,BUY,12.451823825285581,2123.8938631966685,0.04999999999999999,15.0,38,0.0,rebalance
2009-04-02,CMI,BUY,18.159994952495286,4977.312919814407,0.04999999999999999,16.0,38,0.0,rebalance
2009-04-02,TXT,BUY,6.462046146954528,13967.15904140767,0.04999999999999999,17.0,38,0.0,rebalance
2009-04-02,OKE,BUY,4.124112298953897,21844.224752588576,0.04999999999999999,18.0,38,0.0,rebalance
